label,youtube_id,time_start,time_end,split
deadlifting,U1DE1x8XjvI,1,11,train
deadlifting,LAZPJF4De9U,27,37,train
deadlifting,77hwfx_-zYQ,94,104,train
deadlifting,c5_HmO4c9EA,2,12,train
deadlifting,f8fSaeclK8A,2,12,train
deadlifting,hYTE6s0V8y8,18,28,train
deadlifting,IgQhpr699f0,49,59,train
deadlifting,Jfjhez-SbsU,101,111,train
deadlifting,OGDZ3iUW_2g,4,14,train
deadlifting,52x4vrNoSZc,0,10,train
deadlifting,AX_MxVKFhuQ,42,52,train
deadlifting,71a2SgpVuhI,2,12,train
deadlifting,HHgHn8NAIFs,4,14,train
deadlifting,7j7Tw_8dYFM,1,11,train
deadlifting,kGWcawSAHBE,19,29,train
deadlifting,3l-1KpWs7bc,0,10,train
deadlifting,_QJhpl1jtjs,59,69,train
deadlifting,Mb8ejyLe_Rg,97,107,train
deadlifting,HvK6dgEyOYQ,19,29,train
deadlifting,I16xlto3LOA,15,25,train
deadlifting,IQDc3ggO0Tw,4,14,train
deadlifting,M4a7BFl_oxw,7,17,train
deadlifting,2pp3XlhzL4E,3,13,train
deadlifting,fFyf1bFm9kk,56,66,train
deadlifting,oaz7PnJydoQ,0,10,train
deadlifting,05ColYwT9Ac,1,11,train
deadlifting,MDkDAvdQOb8,4,14,train
deadlifting,OsqT4TniU5g,9,19,train
deadlifting,p7b7IPwwaHQ,16,26,train
deadlifting,am2Ofue7Yqk,64,74,train
deadlifting,mguwz5wuUSk,33,43,train
deadlifting,A3nae7zEJoQ,6,16,train
deadlifting,148gWx_kbzg,2,12,train
deadlifting,vcspr3L5yrk,359,369,train
deadlifting,HvZdZeqXogw,18,28,train
deadlifting,iCxByTdFxpY,21,31,train
deadlifting,f8JqKBDg6tM,25,35,train
deadlifting,bTWYUi6lAtU,22,32,train
deadlifting,H2uvr0Rd_pc,0,10,train
deadlifting,AgOyGISM_FA,3,13,train
deadlifting,T41yWUgmMGo,22,32,train
deadlifting,6eTi2gI1tyU,46,56,train
deadlifting,HnhsY4-A4o8,2,12,train
deadlifting,u8ij-_1jwfo,2,12,train
deadlifting,y50QMRmreE0,28,38,train
deadlifting,ldJx2_8kMxc,5,15,train
deadlifting,m9OkhAhFUFo,6,16,train
deadlifting,ECIpOCYkZVk,45,55,train
deadlifting,v5RyHYVLwJw,9,19,train
deadlifting,G5mzDWjS1cM,0,10,train
deadlifting,PLSz_XAsz8I,20,30,train
deadlifting,3mrwUk6K8kE,36,46,train
deadlifting,IcgY1aGtNDc,49,59,train
deadlifting,J1Fi2bZENAY,0,10,train
deadlifting,bTm651HOg2Q,5,15,train
deadlifting,lf-eCUb1Ouw,401,411,train
deadlifting,79PlgWth32E,3,13,train
deadlifting,bN70P79ZPwo,250,260,train
deadlifting,AqngXZHi-VM,204,214,train
deadlifting,am7Dz7gargs,7,17,train
deadlifting,d1GIKi1ycrg,0,10,train
deadlifting,ownDIcnxJwE,4,14,train
deadlifting,I-xndD5GzgQ,14,24,train
deadlifting,3W6BtVGviHs,3,13,train
deadlifting,8LHvdxSF9Ek,4,14,train
deadlifting,kGVzBvwpbzA,16,26,train
deadlifting,mgvGILIJzco,14,24,train
deadlifting,HIiXVgtJ2IQ,0,10,train
deadlifting,t56c2IHJd18,31,41,train
deadlifting,COlnAt5Dp3g,18,28,train
deadlifting,pfzqpYMsv_I,1,11,train
deadlifting,5bVgDLKxSgE,23,33,train
deadlifting,oxBppLX_gUw,5,15,train
deadlifting,mljzny5ISA8,9,19,train
deadlifting,6HJ_rP-o8tA,0,10,train
deadlifting,-HXAOzp4Qjs,28,38,train
deadlifting,bN6trtkmBcc,28,38,train
deadlifting,XA1mJFCYK1Q,12,22,train
deadlifting,Q5O1drDp91A,0,10,train
deadlifting,GTpDNm4cyw0,44,54,train
deadlifting,3iCyg8YJpC0,9,19,train
deadlifting,DWnwtzXPJI0,3,13,train
deadlifting,9GNbAP8RBek,0,10,train
deadlifting,hYcTLWEIwjI,7,17,train
deadlifting,FCrUIpqT4b8,79,89,train
deadlifting,5swUfTDc5og,2,12,train
deadlifting,oxhVZ9amwQU,2,12,train
deadlifting,sasQYfzgkoo,22,32,train
deadlifting,y8hqoYjr9u4,19,29,train
deadlifting,j2UXWOb3yhg,10,20,train
deadlifting,aRcOjiITbBY,18,28,train
deadlifting,hYIQ4rMdS9g,4,14,train
deadlifting,NBWoePBUhzA,0,10,train
deadlifting,AqKCqvVNh4o,7,17,train
deadlifting,Z5eA8gJm4GM,15,25,train
deadlifting,3h7y3Uy5ir8,200,210,train
deadlifting,oxu4HK3n0Fs,44,54,train
deadlifting,CNjLZeInU9I,11,21,train
deadlifting,_VehW4Fwmi4,19,29,train
deadlifting,nesyXc1Giew,8,18,train
deadlifting,nhS51trW7I0,1,11,train
deadlifting,fJAH6Dnfpe4,44,54,train
deadlifting,ETDMaCsPPtk,0,10,train
deadlifting,Hu1HBm-UB9Q,25,35,train
deadlifting,d7PNcA-PVFs,3,13,train
deadlifting,56eOpl0nMcs,0,10,train
deadlifting,L83b1aCJ4Yk,5,15,train
deadlifting,8MjlII1ixYA,88,98,train
deadlifting,e8-ya-6rqPw,51,61,train
deadlifting,KtKRthsoLUg,4,14,train
deadlifting,5Sz9BkIQv0Q,20,30,train
deadlifting,PNa62oilebk,143,153,train
deadlifting,IBDLz6UQfLc,10,20,train
deadlifting,BArzbunIKCg,18,28,train
deadlifting,KdBN9s7ccPE,0,10,train
deadlifting,8gfvjvzTMbQ,56,66,train
deadlifting,28M4Qn0fdwY,47,57,train
deadlifting,c6pTSv2Oubo,22,32,train
deadlifting,ecUaJheTj2M,28,38,train
deadlifting,bH51N_m_hpE,9,19,train
deadlifting,vhYdrJYlklQ,38,48,train
deadlifting,ow95mR8jU2I,3,13,train
deadlifting,-r5zge3VO5I,1,11,train
deadlifting,1nAqIb2b7EQ,231,241,train
deadlifting,3n6Shb8GsdA,65,75,train
deadlifting,hYf1mbSDVIY,5,15,train
deadlifting,m470yDOhnVQ,9,19,train
deadlifting,DXo98HMtgEY,30,40,train
deadlifting,QarIA-BakM4,0,10,train
deadlifting,wBj1kxLmnTM,17,27,train
deadlifting,FDfv-IjnEXs,16,26,train
deadlifting,d6nBMJorA7w,79,89,train
deadlifting,d-bv5MwIGBs,9,19,train
deadlifting,zvcyDtfbZgo,2,12,train
deadlifting,NnpX9QeqiKc,5,15,train
deadlifting,COb26pHJwkI,2,12,train
deadlifting,DXuWKZWShVU,2,12,train
deadlifting,p0Dj-h1QGHk,4,14,train
deadlifting,8aqnVDX_nec,32,42,train
deadlifting,aRhsPKOAXKo,7,17,train
deadlifting,35V6Abq30Ds,0,10,train
deadlifting,hYgkrBFGP2A,2,12,train
deadlifting,Hjhj_mPcxoM,31,41,train
deadlifting,Hv5ByLRXpLU,2,12,train
deadlifting,N29wwGJGzsg,17,27,train
deadlifting,AqJt3s6Hquk,109,119,train
deadlifting,IfLkufHzUVU,0,10,train
deadlifting,LpQKWqSzf5k,88,98,train
